rgb_path,annotations_path,type,accident_time,accident_frame,center_x,center_y,x1,y1,x2,y2,map,weather,camera_position,no_frames,duration,height,width,annotations_start_offset
videos/head-on/Town03_head-on_clear_00_aug2.mp4,video_annotations/Town03_head-on_clear_00.json.gz,head-on,3.45,69,0.6559895833333333,0.1518518518518518,0.5885416666666666,0.0879629629629629,0.7234375,0.2157407407407407,Town03,clear,0,372,18.6,1080,1920,51
videos/head-on/Town03_head-on_clear_03_aug2.mp4,video_annotations/Town03_head-on_clear_03.json.gz,head-on,2.2,44,0.4114583333333333,0.1074074074074074,0.3895833333333333,0.0027777777777777,0.4333333333333333,0.212037037037037,Town03,clear,3,416,20.8,1080,1920,56
videos/head-on/Town03_head-on_clear_05_aug2.mp4,video_annotations/Town03_head-on_clear_05.json.gz,head-on,4.0,80,0.3841145833333333,0.2953703703703704,0.340625,0.2074074074074074,0.4276041666666667,0.3833333333333333,Town03,clear,5,254,12.7,1080,1920,38
videos/head-on/Town03_head-on_clear_07_aug2.mp4,video_annotations/Town03_head-on_clear_07.json.gz,head-on,4.55,91,0.3421875,0.4694444444444444,0.2703125,0.4027777777777778,0.4140625,0.5361111111111111,Town03,clear,7,339,16.95,1080,1920,20
videos/head-on/Town03_head-on_clear_10_aug2.mp4,video_annotations/Town03_head-on_clear_10.json.gz,head-on,3.6,72,0.4700520833333333,0.6310185185185185,0.4130208333333333,0.4944444444444444,0.5270833333333333,0.7675925925925926,Town03,clear,10,249,12.45,1080,1920,67
videos/head-on/Town03_head-on_clear_12_aug2.mp4,video_annotations/Town03_head-on_clear_12.json.gz,head-on,4.45,89,0.5526041666666667,0.7407407407407407,0.4989583333333333,0.6305555555555555,0.60625,0.850925925925926,Town03,clear,12,393,19.65,1080,1920,31
videos/head-on/Town03_head-on_clear_14_aug2.mp4,video_annotations/Town03_head-on_clear_14.json.gz,head-on,3.65,73,0.58203125,0.6439814814814815,0.5145833333333333,0.5925925925925926,0.6494791666666667,0.6953703703703704,Town03,clear,14,446,22.3,1080,1920,37
videos/head-on/Town03_head-on_clear_16_aug2.mp4,video_annotations/Town03_head-on_clear_16.json.gz,head-on,2.65,53,0.6338541666666667,0.5185185185185185,0.5822916666666667,0.4796296296296296,0.6854166666666667,0.5574074074074075,Town03,clear,16,287,14.35,1080,1920,56
videos/head-on/Town03_head-on_clear_18_aug2.mp4,video_annotations/Town03_head-on_clear_18.json.gz,head-on,3.45,69,0.4911458333333333,0.1560185185185185,0.4692708333333333,0.0611111111111111,0.5130208333333334,0.2509259259259259,Town03,clear,18,322,16.1,1080,1920,46
videos/head-on/Town03_head-on_clear_21_aug2.mp4,video_annotations/Town03_head-on_clear_21.json.gz,head-on,4.2,84,0.3239583333333333,0.4009259259259259,0.271875,0.3490740740740741,0.3760416666666666,0.4527777777777778,Town03,clear,21,406,20.3,1080,1920,29
videos/head-on/Town03_head-on_clear_23_aug2.mp4,video_annotations/Town03_head-on_clear_23.json.gz,head-on,3.05,61,0.4263020833333333,0.3509259259259259,0.3546875,0.312037037037037,0.4979166666666667,0.3898148148148148,Town03,clear,23,380,19.0,1080,1920,59
